Pattern,Fichier,Detail
meta-gershayim,sources/shabbat/siman-355/niveau-3-synthese-he.html,2 meta
coquille-sikhot,sources/shabbat/siman-355/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-355/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-355/niveau-4-daat-harav-he.html,2 meta
meta-gershayim,sources/shabbat/siman-355/niveau-2-lamdan.html,3 meta
titre-tronque,sources/shabbat/siman-355/niveau-3-synthese-en.html,Siman 355 · Level 3 — Balcony Over Water and | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-355/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-355/niveau-1-base-he.html,2 meta
meta-gershayim,sources/shabbat/siman-355/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-285/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-285/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-285/niveau-2-lamdan-en.html,3 meta
titre-tronque,sources/shabbat/siman-285/niveau-2-lamdan-en.html,"Siman <bdi>רפ""ה</bdi> · Level 2 — Lire la parasha 2 fois en | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-285/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-285/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-285/niveau-1-base.html,4 meta
titre-tronque,sources/shabbat/siman-285/niveau-1-base.html,"Siman <bdi>רפ""ה</bdi> · Niveau 1 — Lire la parasha 2 fois en | Hilkhot Shabbat"
coquille-sikhot,sources/shabbat/siman-285/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-285/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-285/niveau-2-lamdan.html,3 meta
titre-tronque,sources/shabbat/siman-285/niveau-2-lamdan.html,"Siman <bdi>רפ""ה</bdi> · Niveau 2 — Lire la parasha 2 fois en | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-285/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-285/niveau-3-synthese.html,3 meta
titre-tronque,sources/shabbat/siman-285/niveau-3-synthese.html,"Siman <bdi>רפ""ה</bdi> · Niveau 3 — Lire la parasha 2 fois en | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-285/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-328/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-328/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-328/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-328/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-328/niveau-3-synthese-he.html,2 meta
coquille-sikhot,sources/shabbat/siman-328/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-328/niveau-4-daat-harav.html,3 meta
coquille-sikhot,sources/shabbat/siman-328/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-328/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-328/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-328/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-328/niveau-1-base-he.html,2 meta
