URL,Langue,Section,Siman,Seif,Niveau,Fichier_source,Titre,Statut_HTTP,Indexable,Present_dans_sitemap,Commentaires
https://daattorah.com/data/.banner-snippets/banner-fr.html,fr,autre,,,,data/.banner-snippets/banner-fr.html,,200 (fichier présent),oui,non,
https://daattorah.com/data/.banner-snippets/banner-he.html,he,autre,,,,data/.banner-snippets/banner-he.html,,200 (fichier présent),oui,non,
https://daattorah.com/emails/presentation-daattorah.html,fr,emails,,,,emails/presentation-daattorah.html,DAAT — étudier le Choulhan Aroukh comme dans un Beit Midrash,200 (fichier présent),oui,non,
https://daattorah.com/faq-en.html,en,racine,,,,faq-en.html,FAQ — Studying Halacha in English · Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/faq-he.html,he,racine,,,,faq-he.html,שאלות נפוצות — לימוד ההלכה לעומק · דעת תורה,200 (fichier présent),oui,oui,
https://daattorah.com/faq.html,fr,racine,,,,faq.html,FAQ — L'étude de la halakha en français · Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/index-en.html,en,racine,,,Index,index-en.html,Daat Torah — Halacha study · Shulchan Aruch by siman,200 (fichier présent),oui,oui,
https://daattorah.com/index-he.html,he,racine,,,Index,index-he.html,"דעת תורה — שולחן ערוך, הלכות שבת · סימן אחר סימן",200 (fichier présent),oui,oui,
https://daattorah.com/,fr,racine,,,Index,index.html,Daat Torah — Halakha en français | Choulhan Aroukh par siman,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/index-en.html,en,limoud,,,Index,limoud/index-en.html,Daat Yomi — Daily study plan | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/index-he.html,he,limoud,,,Index,limoud/index-he.html,דעת יומי — תוכנית לימוד יומית | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/index.html,fr,limoud,,,Index,limoud/index.html,Daat Yomi — Plan d'étude quotidien | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/jour-001-en.html,en,limoud,jour-001,,,limoud/jour-001-en.html,Day 1 — Siman 242 · Daat Yomi | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/jour-001-he.html,he,limoud,jour-001,,,limoud/jour-001-he.html,יום 1 — סימן 242 · דעת יומי | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/jour-001.html,fr,limoud,jour-001,,,limoud/jour-001.html,Jour 1 — Siman 242 · Daat Yomi | Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/limoud/jour-002-en.html,en,limoud,jour-002,,,limoud/jour-002-en.html,Day 2 — Siman 243 · Daat Yomi | Daat Torah,200 (fichier présent),oui,oui,
